Dự án,Đường/Phố,Phường/Xã,Quận/Huyện,Phân loại quận,Loại tin,Mã tin,Diện tích,Mức giá,Hướng nhà,Hướng ban công,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Loại hình chung cư,Nhóm 1-Trường học,Nhóm 1- Chợ/Siêu thị,Nhóm 1-Bệnh viện,Nhóm 2-Công viên,Nhóm 2-Bể bơi,Nhóm 2-Gym,Slot ô tô,Nhà thoáng,Hiện đại,Bán gấp,Lô góc,Hỗ trợ vay,Tầng
Vinhomes Symphony Riverside,Hội Xá,Việt Hưng,Long Biên,Nội thành,Tin thường,39038842,71.0,63.4,Đông - Bắc,Tây - Nam,2.0,2.0,Sổ đỏ/ Sổ hồng,Đầy đủ.,Chung cư,0,0,0,0,0,0,0,0,0,0,0,0,
Le Grand Jardin Sài Đồng,Huỳnh Văn Nghệ,Sài Đồng,Long Biên,Nội thành,Tin thường,38958225,77.0,41.6,Đông - Nam,,2.0,2.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Chung cư,0,1,0,1,1,1,0,1,0,0,0,1,
Chung cư C1 Thành Công,,Thành Công,Ba Đình,Ngoại thành,Tin thường,38844488,160.0,42.0,,,3.0,,,,Chung cư,0,0,0,0,0,0,0,1,0,0,0,0,
Roman Plaza,Tố Hữu,Đại Mỗ,Nam Từ Liêm,Nội thành,Tin thường,39177114,69.3,49.1,,,2.0,2.0,,,Chung cư,0,0,0,0,0,0,0,1,0,0,0,0,Trung
M5 Nguyễn Chí Thanh,Nguyễn Chí Thanh,Láng Hạ,Đống Đa,Nội thành,Tin thường,39085521,107.0,44.9,,,3.0,2.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Chung cư,0,0,0,0,0,0,0,0,0,0,0,0,
Masteri West Heights,,Tây Mỗ,Nam Từ Liêm,Nội thành,Tin thường,39177688,63.0,61.9,,,2.0,2.0,Hợp đồng mua bán,Cơ bản,Chung cư,0,0,0,1,1,1,1,1,1,0,1,0,
Chung cư Đường Phạm Ngọc Thạch,Phạm Ngọc Thạch,Quang Trung,Đống Đa,Nội thành,Tin thường,35004324,58.0,14.7,Đông - Nam,Đông - Nam,2.0,1.0,Sổ đỏ/ Sổ hồng,Nội thất đầy đủ về ở ngay,Chung cư,0,0,0,0,0,0,0,0,1,0,0,0,
Roman Plaza,Tố Hữu,Đại Mỗ,Nam Từ Liêm,Nội thành,Tin thường,39198985,99.0,46.5,,,,,Sổ đỏ/ Sổ hồng.,Đầy đủ,Chung cư,0,0,0,0,0,0,0,0,0,0,0,0,Trung
Vinhomes Ocean Park Gia Lâm,,Dương Xá,Gia Lâm,Ngoại thành,Tin thường,39176859,47.0,29.4,,,1.0,1.0,Sổ đỏ/ Sổ hồng.,Đầy đủ.,Chung cư,1,0,0,1,0,1,0,0,0,0,0,0,
The Sapphire-Vinhomes Smart City,,Tây Mỗ,Nam Từ Liêm,Nội thành,Tin VIP Vàng,38954556,46.0,38.0,,Đông - Nam,1.0,1.0,Sổ đỏ/ Sổ hồng,,Chung cư,0,0,0,0,0,0,0,1,0,0,0,0,
Hồ Gươm Plaza,Trần Phú,Mỗ Lao,Hà Đông,Nội thành,Tin thường,38144748,136.0,Thỏa thuận,,Tây - Nam,3.0,2.0,Sổ đỏ/ Sổ hồng,,Chung cư,0,0,0,0,0,0,0,1,0,0,1,1,
D’. El Dorado,Nguyễn Hoàng Tôn,Phú Thượng,Tây Hồ,Nội thành,Tin thường,38460422,252.0,119.0,,,3.0,3.0,Đã có sổ đỏ.,,Chung cư,0,0,0,1,1,0,0,1,0,0,1,0,
Hà Nội Paragon,,Dịch Vọng Hậu,Cầu Giấy,Nội thành,Tin thường,38890869,90.0,Thỏa thuận,,,2.0,2.0,Sổ đỏ/ Sổ hồng,Cơ bản,Chung cư,1,0,1,0,0,0,0,1,0,0,0,1,
Trung Hòa Nhân Chính,Lê Văn Lương,Trung Hòa,Cầu Giấy,Nội thành,Tin thường,39176678,116.0,56.0,Tây - Bắc,Đông - Nam,3.0,2.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Chung cư,0,0,0,0,0,0,0,0,0,0,0,0,
The Canopy Residences - Vinhomes Smart City,,,Nam Từ Liêm,Nội thành,Tin thường,38654204,75.0,62.7,,Đông - Nam,2.0,2.0,Sổ đỏ/ Sổ hồng,Cơ bản,Chung cư,1,0,0,1,1,1,1,1,1,0,0,1,
KĐT Mễ Trì Hạ,Phạm Hùng,Mễ Trì,Nam Từ Liêm,Nội thành,Tin thường,39189742,68.8,41.4,,,2.0,,,,Chung cư,0,0,0,0,0,0,0,0,0,0,0,0,Thấp
xpHOMES,Quốc lộ 32,Tân Lập,Đan Phượng,Ngoại thành,Tin thường,38137442,61.8,32.4,Đông - Nam,Đông - Nam,2.0,2.0,Sổ đỏ/ Sổ hồng.,Cơ bản,Chung cư,0,1,0,1,0,1,0,1,1,0,0,1,
The Pride,Tố Hữu,La Khê,Hà Đông,Nội thành,Tin thường,39182252,75.0,37.3,Đông - Bắc,Đông - Nam,2.0,2.0,,,Chung cư,0,0,0,0,0,0,0,1,1,0,1,0,
Le Grand Jardin Sài Đồng,Huỳnh Văn Nghệ,Sài Đồng,Long Biên,Nội thành,Tin thường,39021696,106.0,42.5,,,3.0,2.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Chung cư,0,0,0,0,0,0,0,0,0,0,0,0,
Mỹ Đình Plaza 2,Nguyễn Hoàng,Mỹ Đình 2,Nam Từ Liêm,Nội thành,Tin thường,38061738,70.0,50.0,Tây - Bắc,Đông - Nam,2.0,2.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Chung cư,0,0,0,0,0,0,0,0,0,0,0,0,
CT5 Văn Khê,Tố Hữu,La Khê,Hà Đông,Nội thành,Tin thường,28115999,151.0,28.0,,,3.0,3.0,,,Chung cư,0,0,0,0,0,0,0,0,0,0,0,0,
N03-T8 Ngoại Giao Đoàn,,Xuân Đỉnh,Bắc Từ Liêm,Nội thành,Tin thường,38492057,80.0,52.5,,,2.0,2.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Chung cư,0,0,0,0,0,0,0,0,0,0,0,0,
Luxury Park Views,,Yên Hòa,Cầu Giấy,Nội thành,Tin thường,39046407,107.0,Thỏa thuận,,,3.0,2.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Chung cư,1,0,0,1,0,0,0,1,0,0,1,0,Trung
The Matrix One,Lê Quang Đạo,Mễ Trì,Nam Từ Liêm,Nội thành,Tin thường,37412528,113.0,Thỏa thuận,Đông - Bắc,Tây - Nam,3.0,2.0,Sổ đỏ/ Sổ hồng,,Chung cư,0,0,0,1,0,0,0,1,1,0,0,0,
Chung cư mini Phố Hào Nam,Hào Nam,Ô Chợ Dừa,Đống Đa,Nội thành,Tin thường,37847662,53.0,16.8,,,2.0,1.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Chung cư mini,0,1,0,0,0,0,1,1,0,0,0,0,
PCC1 Triều Khúc,Triều Khúc,Thanh Xuân Nam,Thanh Xuân,Nội thành,Tin thường,39154320,61.0,58.2,,,2.0,2.0,,,Chung cư,0,0,0,0,0,0,0,0,0,0,0,0,
Sunshine Crystal River,,Phú Thượng,Tây Hồ,Nội thành,Tin thường,38255233,123.0,81.3,,,3.0,2.0,Hợp đồng mua bán,Đầy đủ,Chung cư,1,0,1,1,1,0,0,1,0,0,0,0,Cao
Golden Park Tower,Phạm Văn Bạch,Yên Hòa,Cầu Giấy,Nội thành,Tin thường,39164428,102.5,56.6,,,3.0,2.0,,,Chung cư,0,0,0,0,0,0,0,1,1,0,1,1,
New Skyline,,Văn Quán,Hà Đông,Nội thành,Tin thường,39132179,135.0,44.4,,,3.0,2.0,Sổ đỏ,,Chung cư,0,0,0,0,0,0,1,0,0,0,0,0,
Times City,Minh Khai,Vĩnh Tuy,Hai Bà Trưng,Nội thành,Tin thường,38946017,160.0,78.1,Bắc,Tây - Nam,4.0,2.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Chung cư,0,0,0,0,0,0,0,1,1,0,1,0,
Sunshine Riverside,,Phú Thượng,Tây Hồ,Nội thành,Tin thường,39151052,90.0,48.9,Đông,,3.0,2.0,,Cơ bản,Chung cư,0,0,0,0,0,0,0,1,1,0,1,0,
Hoành Sơn Complex,Nguyễn Huy Tưởng,Thanh Xuân Trung,Thanh Xuân,Nội thành,Tin thường,39131671,66.8,44.9,Đông - Bắc,Tây - Nam,2.0,2.0,Hợp đồng mua bán,Đầy đủ,Chung cư,1,1,0,0,1,0,1,1,0,0,0,0,Cao
Vinhomes Ocean Park Gia Lâm,5,Dương Xá,Gia Lâm,Ngoại thành,Tin thường,35707482,47.0,31.9,,,1.0,1.0,Sổ đỏ/ Sổ hồng,,Chung cư,0,0,0,0,0,0,0,0,0,0,0,1,
Chung cư mini Đường Trần Khát Chân,Trần Khát Chân,Thanh Nhàn,Hai Bà Trưng,Nội thành,Tin thường,27209776,32.0,20.3,,,,,,,Chung cư mini,0,0,0,1,0,0,0,1,0,0,0,0,
The Zurich - Vinhomes Ocean Park,,Đa Tốn,Gia Lâm,Ngoại thành,Tin thường,38097119,115.2,42.0,Tây - Bắc,Đông - Nam,3.0,2.0,Hợp đồng mua bán,Cơ bản,Chung cư,0,0,0,0,0,0,0,1,0,0,1,1,
Nhà tập thể Phố Vũ Ngọc Phan,Vũ Ngọc Phan,Láng Hạ,Đống Đa,Nội thành,Tin thường,39168541,90.0,36.4,,,3.0,,,,Nhà tập thể,1,1,0,0,0,0,0,1,0,0,0,0,
Tecco Garden,Tứ Hiệp,Tứ Hiệp,Thanh Trì,Ngoại thành,Tin thường,38818212,127.0,28.3,,,4.0,3.0,Sổ đỏ/ Sổ hồng,Cơ bản,Chung cư,0,0,0,1,0,0,0,1,0,0,0,0,
Times City - Park Hill,Minh Khai,Vĩnh Tuy,Hai Bà Trưng,Nội thành,Tin thường,37752705,79.0,63.3,,,2.0,2.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Chung cư,0,0,0,0,0,0,0,1,0,0,0,0,
Dolphin Plaza,Trần Bình,Mỹ Đình 2,Nam Từ Liêm,Nội thành,Tin thường,39141252,171.0,43.9,Tây,Đông,3.0,2.0,,Full.,Chung cư,0,0,0,0,0,0,1,1,1,0,0,0,Cao
Eco City Việt Hưng,,Giang Biên,Long Biên,Nội thành,Tin thường,39173165,63.0,42.9,,,2.0,,Sổ đỏ/ Sổ hồng,Cơ bản.,Chung cư,0,1,0,1,1,1,0,0,0,0,0,1,
The Wisteria,32,Di Trạch,Hoài Đức,Ngoại thành,Tin thường,39201860,138.0,37.0,Tây - Bắc,Đông - Nam,3.0,3.0,,Liền tường,Chung cư,0,0,0,1,1,1,0,0,1,0,0,1,
BRG Diamond Residence,Lê Văn Lương,Nhân Chính,Thanh Xuân,Nội thành,Tin thường,38255499,105.0,58.1,Đông - Bắc,Tây - Bắc,3.0,2.0,Hợp đồng mua bán,Không nội thất,Chung cư,1,0,0,0,1,0,1,0,1,0,0,1,
Chung cư 137,Nguyễn Ngọc Vũ,Trung Hòa,Cầu Giấy,Nội thành,Tin thường,39207170,80.0,48.8,Đông - Bắc,Tây - Nam,3.0,2.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Chung cư,0,0,0,0,0,0,1,0,0,0,0,0,
Hapulico Complex,Nguyễn Huy Tưởng,Thanh Xuân Trung,Thanh Xuân,Nội thành,Tin thường,39174465,104.0,48.1,,,3.0,2.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Chung cư,0,0,0,0,0,0,0,0,0,0,0,0,Trung
Heritage West Lake,Lạc Long Quân,Phú Thượng,Tây Hồ,Nội thành,Tin thường,38428249,181.0,165.7,,,4.0,3.0,,,Chung cư,0,0,0,0,0,0,0,1,0,0,1,0,Cao
Iris Garden,Trần Hữu Dực,Cầu Diễn,Nam Từ Liêm,Nội thành,Tin thường,33518518,63.0,52.4,Tây - Bắc,Đông - Nam,2.0,2.0,Sổ đỏ/ Sổ hồng,"Nguyên bản, cơ bản.",Chung cư,0,0,0,0,0,0,1,0,0,0,1,0,
Goldmark City,Hồ Tùng Mậu,Phú Diễn,Bắc Từ Liêm,Nội thành,Tin thường,38757858,110.0,43.6,Đông - Nam,Tây - Bắc,4.0,2.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Chung cư,0,0,0,0,0,0,0,1,0,0,1,0,Cao
Nhà ở cho CBCS Bộ Công an,Phạm Văn Đồng,Cổ Nhuế 2,Bắc Từ Liêm,Nội thành,Tin thường,39160647,70.0,49.3,,,2.0,2.0,Sổ đỏ lâu dài,Đủ,Chung cư,1,1,1,0,0,0,0,1,0,0,1,0,
Nhà tập thể Đường Kim Liên,Kim Liên,Kim Liên,Đống Đa,Nội thành,Tin thường,39172408,70.0,78.6,,,2.0,2.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Nhà tập thể,0,0,0,0,0,0,1,0,0,0,0,0,
Sunshine Garden,Dương Văn Bé,Vĩnh Tuy,Hai Bà Trưng,Nội thành,Tin thường,38625855,45.0,55.6,Đông,Tây,1.0,1.0,Đầy đủ đã có sổ,Đầy đủ nội thất bao gồm đồ điện tử,Chung cư,0,0,0,0,0,0,0,1,0,0,0,0,Trung
Artex Building 172 Ngọc Khánh,Ngọc Khánh,Giảng Võ,Ba Đình,Ngoại thành,Tin thường,39191043,155.0,Thỏa thuận,Đông - Bắc,Tây - Nam,3.0,2.0,,,Chung cư,0,0,0,0,0,0,0,1,0,0,1,0,
South Tower Hoàng Liệt,Ngọc Hồi,Hoàng Liệt,Hoàng Mai,Nội thành,Tin thường,39145314,75.0,40.7,Nam,Bắc,2.0,2.0,Sổ đỏ/ Sổ hồng.,Đầy đủ.,Chung cư,0,0,0,0,0,0,0,1,0,0,0,0,Cao
The Golden An Khánh 32T,,An Khánh,Hoài Đức,Ngoại thành,Tin thường,39155072,69.9,Thỏa thuận,Tây - Nam,Đông - Bắc,2.0,2.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Chung cư,0,0,0,0,0,0,0,0,0,0,0,1,
Chung cư 789 Xuân Đỉnh,,Xuân Đỉnh,Bắc Từ Liêm,Nội thành,Tin thường,37351285,70.0,51.4,,,2.0,2.0,Sổ đỏ/ Sổ hồng,,Chung cư,0,0,0,0,0,0,0,0,0,0,0,0,
MHD Trung Văn,Tố Hữu,Trung Văn,Nam Từ Liêm,Nội thành,Tin thường,39164746,123.8,46.8,,,4.0,2.0,Sổ đỏ,Không nội thất.,Chung cư,0,0,0,0,0,0,1,0,0,0,0,0,
Khu Ngoại Giao Đoàn,Xuân Đỉnh,Xuân Đỉnh,Bắc Từ Liêm,Nội thành,Tin thường,38081273,105.0,54.3,,,3.0,3.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Chung cư,0,0,0,0,0,0,0,1,0,0,1,0,Trung
Vinhomes Metropolis - Liễu Giai,,,Ba Đình,Ngoại thành,Tin thường,37247321,80.0,103.8,Đông - Nam,,2.0,2.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Chung cư,0,0,0,0,0,0,0,1,0,0,0,0,
Handico Complex,Lê Văn Lương,Nhân Chính,Thanh Xuân,Nội thành,Tin thường,39156192,70.0,62.0,Đông - Nam,Đông - Nam,2.0,2.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Chung cư,0,0,0,0,0,0,1,0,0,0,0,0,
KĐT Xa La,Phùng Hưng,Phúc La,Hà Đông,Nội thành,Tin thường,39171627,64.0,Thỏa thuận,Đông - Bắc,Tây - Nam,2.0,2.0,Sổ đỏ,,Chung cư,0,0,0,0,0,0,0,1,0,0,1,0,
Handi Resco Lê văn Lương,Lê Văn Lương,Nhân Chính,Thanh Xuân,Nội thành,Tin thường,35464236,66.0,60.6,Tây - Bắc,Đông - Nam,2.0,2.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Chung cư,0,0,0,0,0,0,0,0,0,0,0,0,
Eco City Việt Hưng,,Giang Biên,Long Biên,Nội thành,Tin thường,37608711,64.0,39.7,Đông - Bắc,Tây - Nam,2.0,2.0,Sổ đỏ/ Sổ hồng,Cơ bản,Chung cư,0,0,0,0,1,1,0,0,0,0,0,0,
Diamond Flower Tower,Lê Văn Lương,Nhân Chính,Thanh Xuân,Nội thành,Tin thường,39184900,120.1,53.3,,,3.0,2.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Chung cư,0,0,0,0,0,0,0,0,1,0,0,0,
Eco Green City,Nguyễn Xiển,Tân Triều,Thanh Trì,Ngoại thành,Tin thường,39187089,76.0,46.1,Tây - Nam,Đông - Bắc,2.0,2.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Chung cư,0,0,0,0,0,0,0,0,0,0,0,0,
HH2 Linh Đàm,Linh,Hoàng Liệt,Hoàng Mai,Nội thành,Tin thường,39103380,66.0,27.4,,,2.0,2.0,,,Chung cư,0,0,0,0,0,0,0,0,0,0,0,1,
Golden Land,Nguyễn Trãi,Thanh Xuân Trung,Thanh Xuân,Nội thành,Tin thường,38555076,147.0,Thỏa thuận,Đông - Nam,Tây - Bắc,3.0,2.0,Hợp đồng mua bán,Cơ bản,Chung cư,0,0,0,0,0,0,0,0,0,0,1,0,
Mandarin Garden,Hoàng Minh Giám,Trung Hòa,Cầu Giấy,Nội thành,Tin thường,39117350,267.0,Thỏa thuận,,Đông - Nam,5.0,4.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Chung cư,0,0,0,0,0,0,0,0,0,0,0,0,
MHD Trung Văn,Tố Hữu,Trung Văn,Nam Từ Liêm,Nội thành,Tin thường,39158947,106.0,43.4,,,3.0,2.0,,,Chung cư,0,0,0,0,0,0,0,0,0,0,0,0,
Nam Trung Yên,Nguyễn Chánh,Trung Hòa,Cầu Giấy,Nội thành,Tin thường,37905659,65.0,Thỏa thuận,,,3.0,1.0,Sổ đỏ chính chủ.,,Chung cư,0,0,0,0,0,0,1,0,0,0,0,0,
Chung cư Phường Xuân Đỉnh,,Xuân Đỉnh,Bắc Từ Liêm,Nội thành,Tin thường,38738943,50.0,21.0,,,2.0,1.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Chung cư,0,0,0,0,0,0,1,1,1,0,0,0,
Samsora Premier,Chu Văn An,Yết Kiêu,Hà Đông,Nội thành,Tin thường,38830519,60.0,Thỏa thuận,Đông - Nam,Tây - Bắc,2.0,2.0,Sổ đỏ,Đầy đủ,Chung cư,0,0,0,0,0,0,0,1,0,0,0,0,Trung
Vinhomes Ocean Park Gia Lâm,Hải Âu 1,Dương Xá,Gia Lâm,Ngoại thành,Tin thường,38983335,64.0,40.6,Tây - Bắc,Đông - Nam,2.0,1.0,Hợp đồng mua bán.,,Chung cư,0,0,1,0,1,1,1,1,1,0,0,1,
6th Element,,Xuân La,Tây Hồ,Nội thành,Tin thường,38710332,109.0,76.1,,,3.0,2.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Chung cư,0,0,0,0,0,0,0,0,0,0,0,0,Cao
Feliz Homes,Hoàng Mai,Hoàng Văn Thụ,Hoàng Mai,Nội thành,Tin thường,34346126,91.0,52.2,Bắc,Đông - Nam,3.0,2.0,Hợp đồng mua bán,Cơ bản,Chung cư,0,0,0,0,0,0,0,1,0,0,0,0,
Mandarin Garden,Hoàng Minh Giám,Trung Hòa,Cầu Giấy,Nội thành,Tin thường,37147414,127.0,59.0,Đông - Bắc,Tây - Nam,3.0,2.0,Sổ đỏ/ Sổ hồng,,Chung cư,0,0,0,0,0,0,0,0,0,0,0,1,
The Golden Armor,Nam Cao,Giảng Võ,Ba Đình,Ngoại thành,Tin thường,39004898,82.0,67.1,,,2.0,2.0,Có sổ,,Chung cư,1,0,0,0,0,0,0,1,0,0,0,0,
Iris Garden,Trần Hữu Dực,Cầu Diễn,Nam Từ Liêm,Nội thành,Tin thường,38209301,135.0,37.0,,,3.0,2.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Chung cư,0,0,0,0,0,0,0,1,0,0,0,0,
N03-T3&T4 Ngoại Giao Đoàn,,Xuân Đỉnh,Bắc Từ Liêm,Nội thành,Tin thường,39167303,128.0,Thỏa thuận,,,3.0,3.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Chung cư,0,0,0,0,0,0,1,1,0,0,0,0,
N05 Trần Duy Hưng,Hoàng Đạo Thúy,Trung Hòa,Cầu Giấy,Nội thành,Tin thường,30970179,162.0,Thỏa thuận,Tây - Bắc,Đông - Nam,3.0,3.0,Sổ đỏ/ Sổ hồng,,Chung cư,0,0,0,0,0,0,0,1,0,0,1,0,
90 Nguyễn Tuân,Nguyễn Tuân,Thanh Xuân Trung,Thanh Xuân,Nội thành,Tin thường,39150719,75.0,53.3,,,2.0,2.0,,,Chung cư,0,0,0,0,0,0,0,0,0,0,0,0,
Chung cư Xã Cự Khê,,Cự Khê,Thanh Oai,Ngoại thành,Tin thường,39136135,47.0,Thỏa thuận,,,1.0,1.0,,,Chung cư,0,0,0,0,0,0,0,1,0,0,0,0,
Golden Land,Nguyễn Trãi,Thanh Xuân Trung,Thanh Xuân,Nội thành,Tin thường,34699076,160.0,45.0,Tây - Nam,Đông - Bắc,3.0,2.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Chung cư,0,0,0,0,0,0,0,0,0,0,0,0,
Lumi Hanoi,Đại lộ Thăng Long,Tây Mỗ,Nam Từ Liêm,Nội thành,Tin thường,39126485,62.2,66.1,Tây - Bắc,Đông - Nam,2.0,2.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Chung cư,0,0,0,1,1,1,0,0,1,0,0,0,
Sudico Mỹ Đình,Phạm Hùng,Mỹ Đình 1,Nam Từ Liêm,Nội thành,Tin thường,39034941,57.0,43.9,Đông - Nam,Tây - Bắc,2.0,1.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Chung cư,0,0,0,0,0,0,0,0,0,0,0,1,
The Sakura - Vinhomes Smart City,,Tây Mỗ,Nam Từ Liêm,Nội thành,Tin thường,39060992,80.0,53.8,,Đông - Bắc,3.0,2.0,Sổ đỏ/ Sổ hồng.,Cơ bản.,Chung cư,1,0,0,1,1,1,0,1,1,0,1,1,
Petrowaco 97 Láng Hạ,Láng Hạ,Láng Hạ,Đống Đa,Nội thành,Tin thường,39182801,350.0,62.9,Tây - Bắc,Đông - Nam,5.0,3.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Chung cư,0,0,0,0,0,0,0,1,0,0,1,0,
Hoành Sơn Complex,Nguyễn Huy Tưởng,Thanh Xuân Trung,Thanh Xuân,Nội thành,Tin thường,38624031,103.0,36.0,,,3.0,2.0,Đang chờ sổ,Đầy đủ,Chung cư,0,0,0,0,0,0,0,0,0,0,0,1,
Sunshine Garden,Dương Văn Bé,Vĩnh Tuy,Hai Bà Trưng,Nội thành,Tin thường,38990464,95.0,49.5,,,3.0,2.0,Đã có sổ,Đầy đủ,Chung cư,0,0,0,0,0,0,0,1,0,0,0,0,Trung
Chung cư Ban cơ yếu Chính phủ,Lê Văn Lương,Nhân Chính,Thanh Xuân,Nội thành,Tin thường,39169840,124.0,48.4,Đông - Nam,Tây - Bắc,3.0,2.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Chung cư,0,0,0,0,0,0,0,1,1,0,1,0,Trung
The Vesta,21B,Phú Lãm,Hà Đông,Nội thành,Tin thường,37710648,58.0,36.2,Nam,Bắc,2.0,2.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Chung cư,1,0,0,0,0,0,0,1,0,0,0,0,
Vinhomes Ocean Park Gia Lâm,,Dương Xá,Gia Lâm,Ngoại thành,Tin thường,39135994,31.2,36.9,,,,,Sổ đỏ/ Sổ hồng,Đầy đủ,Chung cư,0,0,0,1,0,0,0,1,0,0,0,0,
Hà Nội Paragon,,Dịch Vọng Hậu,Cầu Giấy,Nội thành,Tin thường,39130636,90.0,Thỏa thuận,,,2.0,2.0,Hợp đồng mua bán,Đầy đủ,Chung cư,0,0,0,0,0,0,0,0,1,0,1,1,
Hoàng Thành Pearl,Nguyễn Văn Giáp,Cầu Diễn,Nam Từ Liêm,Nội thành,Tin thường,38991825,113.0,53.1,,,3.0,2.0,Hợp đồng mua bán,Đầy đủ,Chung cư,0,0,0,0,0,0,0,1,0,0,0,0,
Lumiere EverGreen Smart City,,Tây Mỗ,Nam Từ Liêm,Nội thành,Tin thường,39148958,53.0,68.7,Đông - Bắc,,2.0,2.0,,,Chung cư,1,0,0,0,0,0,0,1,1,0,0,1,
BRG Diamond Residence,Lê Văn Lương,Nhân Chính,Thanh Xuân,Nội thành,Tin VIP Kim Cương,39205367,110.0,63.6,,,3.0,,,,Chung cư,0,1,0,0,1,1,1,1,1,0,0,0,Trung
Rivera Park Hà Nội,Vũ Trọng Phụng,Thanh Xuân Trung,Thanh Xuân,Nội thành,Tin thường,38596941,70.0,60.0,Đông - Bắc,Tây - Nam,2.0,2.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Chung cư,0,0,0,0,0,0,0,1,0,0,0,0,
Chung cư 83 Ngọc Hồi,Ngọc Hồi,Đại Kim,Hoàng Mai,Nội thành,Tin thường,38969154,83.0,25.2,,,3.0,2.0,Hợp đồng mua bán.,Cơ bản.,Chung cư,0,0,0,0,0,0,0,0,0,0,0,0,
The One Residence - Gamuda Garden,Pháp Vân,Yên Sở,Hoàng Mai,Nội thành,Tin thường,39169289,67.0,41.0,Đông - Nam,Tây - Bắc,2.0,2.0,Sổ đỏ/ Sổ hồng,Đầy đủ.,Chung cư,0,0,0,0,0,0,0,0,0,0,0,0,
Trung Yên I,Vũ Phạm Hàm,Yên Hòa,Cầu Giấy,Nội thành,Tin thường,38940840,131.0,45.8,Tây - Bắc,Đông - Nam,3.0,2.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Chung cư,0,0,0,0,0,0,0,0,0,0,1,0,Trung
Petrowaco 97 Láng Hạ,Láng Hạ,Láng Hạ,Đống Đa,Nội thành,Tin VIP Bạc,39195971,347.0,64.0,,,4.0,3.0,,,Chung cư,0,1,0,0,1,1,0,0,1,0,0,0,
Chung cư Xuân La,Xuân La,Xuân La,Tây Hồ,Nội thành,Tin thường,38344740,74.0,51.4,,,3.0,2.0,Sổ đỏ,,Chung cư,0,0,0,0,0,0,0,1,0,0,0,0,
The Link 345-CT1,,Đông Ngạc,Bắc Từ Liêm,Nội thành,Tin thường,39197943,114.0,Thỏa thuận,,,3.0,2.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Chung cư,0,0,0,0,0,0,0,1,0,0,0,0,
Yên Hòa,Vũ Phạm Hàm,Yên Hòa,Cầu Giấy,Nội thành,Tin thường,39197590,80.0,43.8,,,2.0,2.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Chung cư,0,0,0,0,0,0,0,0,0,0,0,0,
Xuân Mai Complex,Tố Hữu,Yên Nghĩa,Hà Đông,Nội thành,Tin thường,39181751,49.0,40.2,,,2.0,1.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Chung cư,1,1,1,1,0,0,0,0,0,0,0,0,
Việt Đức Complex,Lê Văn Lương,Nhân Chính,Thanh Xuân,Nội thành,Tin thường,28519494,99.63,Thỏa thuận,Đông - Nam,Tây - Bắc,3.0,2.0,Sổ hồng vĩnh viễn,Full nội thất (chưa sử dụng).,Chung cư,0,0,0,0,0,0,0,1,0,0,0,0,
Eurowindow Multi Complex,Trần Duy Hưng,Trung Hòa,Cầu Giấy,Nội thành,Tin thường,39040283,106.0,56.1,,,3.0,2.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Chung cư,1,1,1,0,0,0,0,0,0,0,0,0,
