Đường/Phố,Phường/Xã,Quận/Huyện,Phân loại quận,Loại tin,Mã tin,Diện tích,Mức giá,Mặt tiền,Đường vào,Hướng ban công,Hướng nhà,Số tầng,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Loại hình,Nhóm 1-Trường học,Nhóm 1- Chợ/Siêu thị,Nhóm 1-Bệnh viện,Công viên,Loại ngõ,Vỉa hè,Bán gấp,Sân phơi,Nhà thoáng,Gần hồ,An ninh,Hiện đại,Chỗ để xe,Thang máy,Lô góc,Hỗ trợ vay
,Kiến Hưng,Hà Đông,Nội thành,Tin VIP Vàng,39223254,96.4,Thỏa thuận,,,,,,,,Khác,Khác,Biệt thự,0,0,0,0,,0,0,0,0,1,0,0,0,0,1,0
Vạn Phúc,Kim Mã,Ba Đình,Nội thành,Tin VIP Bạc,36544173,38.0,Thỏa thuận,3.4,,Nam,Nam,5.0,,3.0,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Full nội thất,Nhà riêng,0,0,0,0,Rộng,0,0,0,1,0,1,1,0,0,0,0
Lê Quang Đạo,Phú Đô,Nam Từ Liêm,Nội thành,Tin thường,38969110,53.0,Thỏa thuận,,,,,4.0,6.0,4.0,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Full nội thất,Nhà riêng,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
Quán Gánh,Duyên Thái,Thường Tín,Ngoại thành,Tin thường,39183599,75.0,Thỏa thuận,4.0,5.0,,Đông - Nam,3.0,5.0,3.0,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Khác,Nhà riêng,1,0,0,0,,0,0,0,0,0,1,1,0,0,0,0
Cổ Linh,Thạch Bàn,Long Biên,Nội thành,Tin thường,39180042,60.0,Thỏa thuận,5.0,6.0,,,6.0,4.0,4.0,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Khác,Nhà riêng,0,0,0,0,,1,0,0,1,0,0,0,1,1,1,1
,Phú Lương,Hà Đông,Nội thành,Tin thường,38445892,500.0,Thỏa thuận,24.0,15.0,Nam,Nam,4.0,5.0,5.0,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Full nội thất,Biệt thự,0,0,0,1,,1,1,0,0,0,0,0,0,0,0,0
Foresa 3,Xuân Phương,Nam Từ Liêm,Nội thành,Tin thường,39220347,90.0,Thỏa thuận,,,,,,,,Khác,Khác,Biệt thự,1,0,0,0,Nhỏ,0,0,0,0,0,0,1,0,0,0,0
Hoàng Quốc Việt,Nghĩa Tân,Cầu Giấy,Nội thành,Tin thường,39185411,55.0,Thỏa thuận,,,,,6.0,5.0,5.0,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Full nội thất,Nhà riêng,0,0,0,0,,0,0,1,0,0,1,1,1,1,0,0
Lê Trọng Tấn,Phú La,Hà Đông,Nội thành,Tin thường,36247375,50.0,Thỏa thuận,5.0,15.0,,,5.0,5.0,5.0,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Khác,Biệt thự,1,0,0,1,,0,0,1,1,0,0,0,1,1,0,0
Bồ Đề,Bồ Đề,Long Biên,Nội thành,Tin thường,39057379,31.0,Thỏa thuận,4.0,5.0,,,6.0,4.0,5.0,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Khác,Nhà riêng,1,0,1,0,,0,0,0,1,1,1,1,0,0,1,0
Đồng Nhân,Đông La,Hoài Đức,Ngoại thành,Tin thường,38843715,76.0,Thỏa thuận,6.0,5.0,Đông - Nam,Đông - Nam,4.0,4.0,4.0,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Khác,Biệt thự,1,0,0,0,,0,0,0,1,0,0,0,0,0,0,1
An Dương Vương,Phú Thượng,Tây Hồ,Nội thành,Tin thường,39180735,315.0,Thỏa thuận,15.0,12.0,,,3.0,4.0,4.0,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Nội thất cơ bản,Biệt thự,0,0,0,0,,0,0,1,0,0,0,1,0,0,0,0
Anh Đào,Phúc Lợi,Long Biên,Nội thành,Tin thường,39079075,160.0,Thỏa thuận,13.9,25.0,Tây - Bắc,Tây - Bắc,,,,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Full nội thất,Biệt thự,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
Vân Trì,Minh Khai,Bắc Từ Liêm,Nội thành,Tin thường,38536653,35.0,Thỏa thuận,,,,,6.0,5.0,,Khác,Khác,Nhà riêng,1,0,0,0,,0,0,0,0,0,0,0,0,1,0,0
,Phúc La,Hà Đông,Nội thành,Tin thường,39197785,50.0,Thỏa thuận,5.0,,,,4.0,,,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Khác,Nhà riêng,1,1,0,0,,0,0,1,1,0,0,0,1,0,0,0
Thành Trung,Trâu Quỳ,Gia Lâm,Ngoại thành,Tin thường,37985112,90.0,Thỏa thuận,6.0,35.0,Đông - Nam,Đông - Nam,5.0,6.0,5.0,Khác,Khác,Biệt thự,1,0,0,1,,1,0,0,0,1,0,0,0,0,0,1
Cổ Loa,Uy Nỗ,Đông Anh,Ngoại thành,Tin thường,37040345,150.0,Thỏa thuận,,,,Đông - Nam,4.0,4.0,4.0,Khác,Khác,Biệt thự,1,1,0,1,,0,0,0,1,0,0,0,0,0,1,1
Tố Hữu,La Khê,Hà Đông,Nội thành,Tin thường,30465667,240.0,Thỏa thuận,12.0,12.0,,Đông - Nam,,,,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Khác,Biệt thự,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
Hoàng Quốc Việt,Đan Phượng,Đan Phượng,Ngoại thành,Tin thường,25680019,75.0,Thỏa thuận,5.0,,,Nam,,,,Khác,Khác,Biệt thự,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
Phạm Hùng,Mỹ Đình 1,Nam Từ Liêm,Nội thành,Tin thường,39061073,190.5,Thỏa thuận,8.0,7.0,Nam,Nam,4.0,7.0,3.0,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Khác,Biệt thự,0,0,0,1,Nhỏ,0,0,0,1,0,0,0,0,0,0,0
Tây Thăng Long,Tây Tựu,Bắc Từ Liêm,Nội thành,Tin thường,39059416,102.0,Thỏa thuận,6.0,13.0,,Tây - Nam,6.0,,,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Khác,Biệt thự,1,0,1,0,,0,0,0,0,1,0,1,1,0,0,0
Nguyễn Văn Lộc,Mỗ Lao,Hà Đông,Nội thành,Tin thường,38866563,76.0,Thỏa thuận,4.5,8.0,Đông - Nam,Đông - Nam,5.0,4.0,4.0,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Full nội thất,Biệt thự,0,0,0,0,,0,0,0,0,1,0,1,0,0,0,0
Trần Quốc Vượng,Dịch Vọng Hậu,Cầu Giấy,Nội thành,Tin thường,39224790,35.0,Thỏa thuận,,3.0,,,5.0,3.0,3.0,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Full nội thất,Nhà riêng,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
Tố Hữu,Dương Nội,Hà Đông,Nội thành,Tin thường,39155490,190.0,Thỏa thuận,,,,,3.0,4.0,4.0,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Khác,Biệt thự,1,0,0,0,,0,0,0,0,0,1,0,0,1,0,0
,Định Công,Hoàng Mai,Nội thành,Tin thường,34134960,86.0,Thỏa thuận,6.0,30.0,Đông - Nam,Đông - Nam,5.0,,,Khác,Khác,Biệt thự,1,0,0,0,,0,0,0,0,1,0,0,0,0,0,1
,Dương Xá,Gia Lâm,Ngoại thành,Tin thường,38959437,90.0,Thỏa thuận,,,,Tây - Bắc,4.0,3.0,3.0,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Full nội thất,Biệt thự,0,0,0,1,,0,0,0,0,1,0,0,0,0,0,0
Quốc lộ 32,Di Trạch,Hoài Đức,Ngoại thành,Tin thường,39140026,100.0,Thỏa thuận,,,,Đông - Nam,5.0,,,Hợp đồng mua bán,Khác,Biệt thự,0,0,0,1,,0,0,0,0,0,0,0,0,1,0,0
Thúy Lĩnh,Lĩnh Nam,Hoàng Mai,Nội thành,Tin thường,38447412,37.5,Thỏa thuận,,,,,,,,Khác,Khác,Nhà riêng,1,1,0,0,,0,0,0,0,0,0,0,0,0,0,0
Trần Quốc Vượng,Dịch Vọng Hậu,Cầu Giấy,Nội thành,Tin thường,39158254,79.0,Thỏa thuận,,,,,5.0,,,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Full nội thất,Nhà riêng,1,0,0,0,,0,0,0,1,0,0,0,0,0,0,0
Lê Đức Thọ,Mỹ Đình 2,Nam Từ Liêm,Nội thành,Tin thường,33225270,215.0,Thỏa thuận,,,,,,5.0,,Khác,Khác,Biệt thự,0,0,0,0,,0,1,0,1,0,1,0,0,0,1,0
Lê Trọng Tấn,Phú Lương,Hà Đông,Nội thành,Tin thường,38675925,65.0,Thỏa thuận,5.0,22.0,,,5.0,5.0,5.0,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Khác,Biệt thự,1,1,0,1,,0,1,0,0,0,0,0,0,0,0,0
Trần Phú,Văn Quán,Hà Đông,Nội thành,Tin thường,39232082,35.0,Thỏa thuận,,,,,5.0,3.0,,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Full nội thất,Nhà riêng,1,0,0,0,,0,0,1,1,0,0,1,0,0,1,0
Quốc lộ 32,Di Trạch,Hoài Đức,Ngoại thành,Tin thường,39232294,94.0,Thỏa thuận,5.0,12.0,,Đông - Bắc,5.0,,,Hợp đồng mua bán,Khác,Biệt thự,0,0,0,0,,0,1,0,0,1,0,0,0,1,0,0
Định Công Thượng,Định Công,Hoàng Mai,Nội thành,Tin thường,39173435,45.0,Thỏa thuận,4.2,6.0,,,6.0,4.0,3.0,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Full nội thất,Nhà riêng,0,0,0,0,,0,0,1,1,0,1,0,1,0,1,0
Lê Trọng Tấn,Dương Nội,Hà Đông,Nội thành,Tin thường,39133467,120.0,Thỏa thuận,6.0,13.0,,Bắc,4.0,,,Hợp đồng mua bán,Khác,Biệt thự,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
Tố Hữu,Vạn Phúc,Hà Đông,Nội thành,Tin thường,39163149,87.0,Thỏa thuận,5.0,,,,5.0,,,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Khác,Biệt thự,0,0,0,0,,1,0,0,1,0,0,1,0,1,0,0
,Việt Hưng,Long Biên,Nội thành,Tin thường,39011554,185.0,Thỏa thuận,,,Đông - Nam,Tây - Bắc,4.0,,,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Khác,Biệt thự,0,0,0,0,,0,1,0,1,0,0,0,0,0,0,0
,,Mê Linh,Ngoại thành,Tin thường,39023940,420.0,Thỏa thuận,17.0,15.0,Bắc,Bắc,3.0,,,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Khác,Biệt thự,0,0,0,0,,0,0,0,1,0,0,0,0,0,0,0
phố Chùa Thông,Quang Trung,Sơn Tây,Ngoại thành,Tin thường,38206371,75.0,Thỏa thuận,5.0,17.5,Đông - Nam,Đông - Bắc,4.0,4.0,5.0,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Nội thất cơ bản,Biệt thự,0,1,0,0,,0,0,0,1,0,0,0,0,0,0,0
Láng Hòa Lạc,An Khánh,Hoài Đức,Ngoại thành,Tin VIP Bạc,36326261,345.75,Thỏa thuận,15.7,13.0,,Đông - Bắc,,,,Hợp đồng mua bán,Nội thất thô,Biệt thự,0,0,0,1,,0,0,0,0,1,0,0,0,0,0,0
,Mỹ Đình 2,Nam Từ Liêm,Nội thành,Tin thường,39207885,62.0,Thỏa thuận,4.0,,,,5.0,5.0,4.0,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Full nội thất,Nhà riêng,0,0,0,0,,0,0,0,1,0,1,1,1,1,0,0
Liễu Giai,Liễu Giai,Ba Đình,Nội thành,Tin thường,39125664,136.0,Thỏa thuận,8.0,4.0,,,3.0,5.0,5.0,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Full nội thất,Nhà riêng,0,0,0,1,,0,0,0,1,1,0,1,0,0,0,0
,Đông Ngạc,Bắc Từ Liêm,Nội thành,Tin thường,35743699,136.0,Thỏa thuận,,40.0,,,5.0,5.0,5.0,Hợp đồng mua bán,Khác,Biệt thự,0,0,0,0,,0,1,0,0,0,0,0,0,0,1,0
,Đông Anh,Đông Anh,Ngoại thành,Tin thường,38366148,70.0,Thỏa thuận,,,,Đông - Nam,5.0,6.0,6.0,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Khác,Biệt thự,1,0,0,1,,0,0,0,1,0,0,0,0,0,0,1
,Đại Kim,Hoàng Mai,Nội thành,Tin thường,33221800,75.0,Thỏa thuận,,,,,,,,Khác,Khác,Biệt thự,1,1,1,1,,0,0,0,0,1,0,0,0,0,0,1
Hàm Nghi,Cầu Diễn,Nam Từ Liêm,Nội thành,Tin thường,38817862,205.0,Thỏa thuận,,,,,4.0,5.0,5.0,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Full nội thất,Biệt thự,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,0
Lê Trọng Tấn,Phú La,Hà Đông,Nội thành,Tin thường,39056907,86.0,Thỏa thuận,5.0,12.0,,,5.0,5.0,5.0,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Full nội thất,Biệt thự,1,1,0,1,,0,1,0,0,0,0,0,0,1,0,0
,Bồ Đề,Long Biên,Nội thành,Tin thường,39226573,52.0,Thỏa thuận,3.9,,,,3.0,,,Khác,Khác,Nhà riêng,1,1,1,0,,0,0,1,0,0,0,0,0,0,0,0
,An Khánh,Hoài Đức,Ngoại thành,Tin thường,34718031,300.0,Thỏa thuận,22.0,13.0,Nam,Tây - Nam,4.0,,,Hợp đồng mua bán,Khác,Biệt thự,0,1,0,0,,0,1,0,0,1,0,0,0,0,1,0
Sao Biển,Dương Xá,Gia Lâm,Ngoại thành,Tin thường,30855067,150.0,Thỏa thuận,8.5,13.0,Đông - Nam,Đông - Nam,4.0,4.0,4.0,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Khác,Biệt thự,0,0,0,0,,0,1,0,0,1,0,0,0,0,0,0
,Xuân La,Tây Hồ,Nội thành,Tin thường,36768339,220.1,Thỏa thuận,,,,,,,,Khác,Khác,Biệt thự,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Quốc lộ 32,Di Trạch,Hoài Đức,Ngoại thành,Tin thường,38568088,200.0,Thỏa thuận,10.0,,,,3.0,,,Khác,Khác,Biệt thự,0,0,0,0,,0,1,0,0,1,0,0,0,0,0,0
Mậu Lương,Kiến Hưng,Hà Đông,Nội thành,Tin thường,39161745,55.0,Thỏa thuận,,,,,7.0,,,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Full nội thất,Nhà riêng,0,0,0,0,,1,0,0,0,0,0,0,0,1,0,0
Hàm Nghi,Mỹ Đình 1,Nam Từ Liêm,Nội thành,Tin thường,39107390,131.0,Thỏa thuận,10.0,,,,4.0,6.0,6.0,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Full nội thất,Biệt thự,0,0,0,0,,0,0,1,0,0,0,0,0,0,1,0
32,Đức Thượng,Hoài Đức,Ngoại thành,Tin thường,39055522,43.7,Thỏa thuận,,,,,1.0,2.0,1.0,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Khác,Nhà riêng,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
Châu Văn Liêm,Phú Đô,Nam Từ Liêm,Nội thành,Tin thường,39175149,97.2,Thỏa thuận,7.2,11.5,,,,,,Hợp đồng mua bán,Khác,Biệt thự,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
Cầu Giấy,Quan Hoa,Cầu Giấy,Nội thành,Tin thường,39161374,110.0,Thỏa thuận,6.7,5.0,,,4.0,6.0,5.0,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Full nội thất,Nhà riêng,0,0,0,0,,0,0,1,0,0,0,0,0,0,0,0
Vũ Trọng Khánh,Mỗ Lao,Hà Đông,Nội thành,Tin thường,39167566,34.0,Thỏa thuận,3.4,5.0,Bắc,Bắc,4.0,3.0,3.0,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Full nội thất,Nhà riêng,0,0,0,0,Nhỏ,0,0,0,0,0,0,0,0,0,0,0
Lạc Long Quân,Phú Thượng,Tây Hồ,Nội thành,Tin thường,39215718,250.0,Thỏa thuận,8.0,10.0,Nam,Nam,3.0,4.0,5.0,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Full nội thất,Biệt thự,1,0,0,0,,0,0,0,0,1,1,0,0,0,1,1
Lạc Long Quân,Phú Thượng,Tây Hồ,Nội thành,Tin thường,38872338,230.0,Thỏa thuận,,,,,3.0,5.0,4.0,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Full nội thất,Biệt thự,0,0,0,0,,0,0,0,1,0,0,0,0,0,0,0
,,Thanh Trì,Ngoại thành,Tin thường,37450459,210.0,Thỏa thuận,,,,,4.0,,,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Khác,Biệt thự,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
Đại lộ Thăng Long,Mễ Trì,Nam Từ Liêm,Nội thành,Tin thường,38357303,190.0,Thỏa thuận,,,,,,,,Khác,Khác,Biệt thự,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
Nguyễn Chí Thanh,Láng Thượng,Đống Đa,Nội thành,Tin thường,39077014,64.0,Thỏa thuận,5.0,6.0,,,6.0,10.0,10.0,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Nội thất cơ bản,Nhà riêng,1,0,0,0,,0,0,0,0,1,1,0,0,1,0,0
,,Hoài Đức,Ngoại thành,Tin thường,39218748,350.0,Thỏa thuận,15.0,13.5,,Đông - Bắc,,,,Hợp đồng mua bán,Khác,Biệt thự,1,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Hào Nam,Cát Linh,Đống Đa,Nội thành,Tin thường,37048108,106.0,Thỏa thuận,6.5,3.0,,,2.0,2.0,2.0,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Nội thất cơ bản,Nhà riêng,0,1,0,0,,0,1,0,1,1,0,0,0,0,0,0
Tố Hữu,Dương Nội,Hà Đông,Nội thành,Tin thường,36946643,180.0,Thỏa thuận,9.0,28.0,,Tây - Bắc,,,,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Chưa có nội thất,Biệt thự,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
Nguyễn Văn Huyên,Xuân La,Tây Hồ,Nội thành,Tin thường,37709609,155.0,Thỏa thuận,,,,,,,,Khác,Khác,Biệt thự,1,0,0,1,,0,0,0,1,1,0,0,0,0,1,0
Cổ Loa,Uy Nỗ,Đông Anh,Ngoại thành,Tin thường,35123969,70.0,Thỏa thuận,5.0,25.0,Tây - Nam,Tây - Nam,4.0,,,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Khác,Biệt thự,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,1
Thái Hà,Quang Trung,Đống Đa,Nội thành,Tin thường,39172608,100.0,Thỏa thuận,8.0,8.0,,,7.0,10.0,6.0,Khác,Khác,Nhà riêng,0,0,0,0,Nhỏ,0,0,0,0,0,1,1,0,1,0,0
Tố Hữu,La Khê,Hà Đông,Nội thành,Tin thường,33325331,90.0,Thỏa thuận,5.0,22.5,,Tây - Nam,4.0,,,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Khác,Biệt thự,1,1,1,1,,0,0,0,0,1,0,0,0,0,0,0
Chùa Láng,Láng Hạ,Đống Đa,Nội thành,Tin thường,36731152,66.0,Thỏa thuận,4.5,7.0,,,5.0,6.0,4.0,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Khác,Nhà riêng,1,0,1,0,Nhỏ,0,0,0,1,0,0,0,0,0,1,1
Nguyệt Quế 8,Việt Hưng,Long Biên,Nội thành,Tin thường,38962546,90.0,Thỏa thuận,6.0,13.0,Tây - Bắc,Tây - Bắc,3.0,3.0,4.0,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Full nội thất,Biệt thự,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
,Phú Lương,Hà Đông,Nội thành,Tin thường,39135954,63.0,Thỏa thuận,5.0,20.0,,Đông - Nam,5.0,6.0,4.0,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Chưa có nội thất,Biệt thự,1,1,0,1,,0,0,0,0,0,0,0,0,0,0,0
Khương Trung,Khương Trung,Thanh Xuân,Nội thành,Tin thường,39197716,75.0,Thỏa thuận,6.5,,,,3.0,5.0,3.0,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Khác,Nhà riêng,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
Ngọc Thụy,Thượng Thanh,Long Biên,Nội thành,Tin thường,39172490,400.0,Thỏa thuận,16.0,30.0,,Tây - Nam,4.0,4.0,4.0,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Khác,Biệt thự,1,0,0,0,,0,1,0,1,1,0,1,1,0,0,0
Nguyễn Tuân,Thanh Xuân Trung,Thanh Xuân,Nội thành,Tin thường,38371949,72.0,Thỏa thuận,5.5,,,,,4.0,5.0,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Khác,Biệt thự,0,0,0,0,,0,1,0,0,0,1,0,0,0,0,0
Láng Hòa Lạc,An Khánh,Hoài Đức,Ngoại thành,Tin thường,39075995,345.75,Thỏa thuận,15.7,13.0,,Đông - Bắc,,,,Hợp đồng mua bán,Nội thất thô,Biệt thự,0,0,0,1,,0,0,0,0,1,0,0,0,0,0,0
,,Hà Đông,Nội thành,Tin thường,37775413,140.0,Thỏa thuận,,,,,,,,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Nội thất cơ bản,Biệt thự,0,0,0,0,,0,1,0,0,0,0,0,0,0,1,0
Hàm Nghi,Cầu Diễn,Nam Từ Liêm,Nội thành,Tin VIP Bạc,36594360,283.5,Thỏa thuận,14.0,30.0,Đông - Nam,Đông - Nam,5.0,4.0,4.0,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Full nội thất,Biệt thự,0,0,0,1,,0,0,0,0,0,0,0,0,0,1,0
Quốc lộ 32,Trạm Trôi,Hoài Đức,Ngoại thành,Tin thường,39202731,280.0,Thỏa thuận,,,,,,,,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Khác,Biệt thự,0,0,0,1,,0,0,0,1,1,0,0,0,0,1,0
Tân Mai,Hoàng Văn Thụ,Hoàng Mai,Nội thành,Tin thường,38815735,95.0,Thỏa thuận,5.0,,,Đông,5.0,,,Khác,Khác,Biệt thự,0,0,0,0,,0,0,0,0,1,0,0,0,0,1,0
,Cổ Nhuế 2,Bắc Từ Liêm,Nội thành,Tin thường,38932384,60.0,Thỏa thuận,,,,,,,,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Full nội thất,Chung cư mini,1,1,1,1,,0,0,0,1,0,1,0,0,0,1,1
Mỹ Đình,Mỹ Đình 1,Nam Từ Liêm,Nội thành,Tin thường,38775206,112.0,Thỏa thuận,,20.0,,,,,,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Full nội thất,Chung cư mini,1,1,0,0,,0,0,1,1,0,0,0,1,1,0,0
Lê Trọng Tấn,La Khê,Hà Đông,Nội thành,Tin thường,38995714,170.0,Thỏa thuận,8.5,11.0,,,4.0,,,Khác,Khác,Biệt thự,0,0,0,0,,0,1,0,0,0,0,0,0,0,0,0
Trung Kính,Trung Hòa,Cầu Giấy,Nội thành,Tin thường,38716682,75.0,Thỏa thuận,6.0,10.0,,,4.0,,,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Full nội thất,Nhà riêng,0,0,0,0,Nhỏ,1,1,1,1,0,0,0,1,0,0,0
Tố Hữu,Vạn Phúc,Hà Đông,Nội thành,Tin thường,30937389,91.0,Thỏa thuận,6.5,40.0,,Đông - Nam,6.0,,,Đang chờ sổ,Khác,Biệt thự,0,0,0,0,,0,0,0,1,0,0,0,0,0,0,0
,Kiến Hưng,Hà Đông,Nội thành,Tin thường,39178417,300.0,Thỏa thuận,10.0,25.0,,,,,,Khác,Khác,Biệt thự,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Nguyễn Ngọc Nại,Khương Mai,Thanh Xuân,Nội thành,Tin thường,39015746,50.0,Thỏa thuận,,,,,7.0,3.0,3.0,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Khác,Nhà riêng,0,0,0,0,Rộng,0,0,1,0,0,0,0,1,1,0,0
Quốc lộ 32,Di Trạch,Hoài Đức,Ngoại thành,Tin thường,39131225,100.0,Thỏa thuận,5.0,12.0,,Đông - Nam,,,,Hợp đồng mua bán,Khác,Biệt thự,0,0,0,0,,0,1,0,0,0,0,0,0,0,0,1
Nguyễn Sơn,Gia Thụy,Long Biên,Nội thành,Tin thường,38742593,77.0,Thỏa thuận,,,,,4.0,4.0,3.0,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Khác,Nhà riêng,1,1,1,1,,0,0,0,0,0,0,0,0,1,0,0
Tây Thăng Long,Tây Tựu,Bắc Từ Liêm,Nội thành,Tin thường,39077465,102.0,Thỏa thuận,,,,,,,,Hợp đồng mua bán,Khác,Biệt thự,1,0,1,0,,0,0,0,0,1,0,1,1,0,0,0
Tố Hữu,La Khê,Hà Đông,Nội thành,Tin thường,32726936,300.0,Thỏa thuận,,17.0,,,3.0,,,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Khác,Biệt thự,1,0,1,1,,0,0,0,0,1,0,0,0,0,0,0
Láng,Láng Hạ,Đống Đa,Nội thành,Tin thường,39234496,56.0,Thỏa thuận,4.0,,,,,,,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Khác,Nhà riêng,0,0,0,1,Nhỏ,0,0,0,1,0,0,0,0,0,1,0
Tố Hữu,Dương Nội,Hà Đông,Nội thành,Tin thường,38877411,82.5,Thỏa thuận,,,,,4.0,,,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Khác,Biệt thự,1,1,1,1,,1,1,0,0,1,1,1,1,0,0,1
Võ Chí Công,Xuân La,Tây Hồ,Nội thành,Tin thường,26560568,286.0,Thỏa thuận,,,,Đông - Nam,,,,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Khác,Biệt thự,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
Ngọc Thụy,Thượng Thanh,Long Biên,Nội thành,Tin thường,38728415,338.0,Thỏa thuận,,,,,3.0,,,Khác,Khác,Biệt thự,1,0,0,1,,0,0,0,1,1,1,0,1,0,0,0
,Dương Nội,Hà Đông,Nội thành,Tin thường,39013681,180.0,Thỏa thuận,9.0,27.0,Đông - Nam,Đông - Nam,,,,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Full nội thất,Biệt thự,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,1
Lê Trọng Tấn,Dương Nội,Hà Đông,Nội thành,Tin thường,39227724,120.0,Thỏa thuận,,,,,,,,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Khác,Biệt thự,1,0,0,1,,0,1,0,1,0,0,1,0,1,1,1
,,Hoài Đức,Ngoại thành,Tin thường,39100962,83.0,Thỏa thuận,5.0,10.0,,Đông - Bắc,,,,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Khác,Biệt thự,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
